,face_size_x,face_size_y,face_avg,body_avg,label
1,128,125,230.918375,214.55870261984393,0
2,143,133,232.20043114779958,213.0306850282486,0
3,138,130,232.653121516165,214.07426470588234,0
4,143,131,232.0007473442588,214.11085515490575,0
5,142,138,232.90635844049805,210.54859538784066,0
6,138,114,231.63640986524283,213.0738863335315,0
7,142,133,232.45245155141376,212.09249332952163,0
8,137,113,231.40966345843293,214.44327525552154,0
9,136,113,231.72579385736594,214.58446540880504,0
10,141,130,231.60791052918714,212.36928657235163,0
11,141,127,230.4765175629642,213.6436673625609,0
12,137,127,231.85246278521754,213.26616426639544,0
13,138,127,231.77302293735022,213.82263552347234,0
14,139,128,230.2257756294964,213.99736169223618,0
15,138,131,229.73647527381348,213.3645104997482,0
16,135,133,230.72074631022,212.93462340559677,0
17,139,130,229.1562257885999,213.15332245940004,0
18,140,129,229.18909191583612,213.9814091274886,0
19,141,132,230.1431334622824,212.1946380760294,0
20,142,130,230.81045503791984,212.53009447648702,0
21,139,122,229.54116051421158,213.18548368658116,0
22,137,126,230.00909512223382,212.59995321637427,0
23,135,114,229.15750487329436,211.80711354309165,0
24,138,119,227.0664352697601,211.46348211415713,0
25,138,112,229.00485248447205,211.82893039049236,0
26,136,102,229.28770184544405,211.9071729957806,0
27,135,108,230.23511659807957,211.43461025982677,0
28,135,107,230.87857390100382,211.40642189674597,0
29,135,108,231.39074074074074,210.97573281539528,0
30,135,110,229.56222222222223,211.89720800790016,0
31,134,109,231.3897028618376,211.90634697385752,0
32,133,107,230.79425198510293,211.85398732433177,0
33,137,104,231.5461819202695,211.12830623173764,0
34,136,104,230.08109445701356,210.98993495077355,0
35,140,115,227.75434782608696,212.330791012057,0
36,137,109,229.19788388133665,211.79011974380396,0
37,136,108,227.88078703703704,212.9946927742616,0
38,136,100,231.73213235294116,212.41684590897358,0
39,136,98,232.25,213.81502853249296,0
40,136,104,232.3635463800905,214.11872121079185,0
41,136,113,231.45236855804268,213.71339814504415,0
42,145,107,231.21063486948114,214.68192832688632,0
43,145,107,230.57544311956173,214.68035161432994,0
44,143,106,231.9182609842987,214.44453017360155,0
45,141,121,231.41679854639236,214.33406000937646,0
46,143,122,230.57944514501892,214.33973537194942,0
47,148,132,231.07207207207207,213.52068390117554,0
48,148,134,231.75630294473578,212.85286748678377,0
49,149,132,231.4941529387838,212.9092852172184,0
50,149,132,232.3423835672158,212.66488095238094,0
51,150,116,232.5469540229885,213.87594277985374,0
52,150,115,232.38168115942028,214.34196485332848,0
53,153,117,232.85375118708453,213.78911798396334,0
54,152,117,233.0214237516869,214.23398625429553,0
55,149,117,232.67395170079735,214.540040950322,0
56,148,114,232.04753437648174,214.39163269927536,0
57,150,116,232.63454022988506,213.73127622016918,0
58,150,115,232.7824347826087,214.30755064456721,0
59,148,114,233.1589615931721,213.58840278405495,0
60,147,109,232.25020283342695,214.1907468971631,0
61,143,120,231.78030303030303,213.338702539017,0
62,141,119,232.11246200607903,214.4448471696371,0
63,141,123,233.3261834746007,213.7789118864577,0
