,face_size_x,face_size_y,face_avg,body_avg,label
1,163,193,230.4087224641597,214.59788259958071,1
2,162,199,230.86968794590234,214.8998310664472,1
3,176,209,229.57405393649412,216.66715246109726,1
4,182,195,231.58202310510003,218.8853580378785,1
5,187,221,230.07861688484525,218.7877163539814,1
6,192,222,230.10031906906906,219.64017172179038,1
7,192,223,229.1364676756353,219.66070086937856,1
8,195,228,229.12159244264507,220.24298225915115,1
9,191,235,229.15717945861647,219.84088417975886,1
10,190,230,229.3557437070938,220.67990109702723,1
11,189,216,229.04289143640995,219.35878865979382,1
12,192,226,229.4095685840708,218.4158273770847,1
13,193,228,228.4337105717662,218.48011455744083,1
14,192,229,228.84070232896653,217.99980269462765,1
15,191,231,229.8326193875932,217.9735670325307,1
16,196,235,228.3804385584021,218.59308559244593,1
17,196,226,229.51589308289687,217.6050832798594,1
18,196,225,229.0520634920635,219.10585126878405,1
19,197,227,227.95845166484045,220.0643167390578,1
20,194,227,229.24210908760617,219.11983072029085,1
21,194,228,227.77156809549646,219.29613501821493,1
22,195,225,227.95808547008548,219.50715722908882,1
23,194,227,228.70368772423816,218.85306541507774,1
24,195,229,229.52809315866085,219.45345720377702,1
25,195,220,230.17727272727274,217.34357094365242,1
26,197,223,230.25332908424576,218.03548133153396,1
27,197,223,229.9933759759623,218.53881241565452,1
28,196,218,230.1767927354428,219.14088143094227,1
29,197,219,230.16542660454766,219.00237055188578,1
30,198,222,229.12940212940214,218.90215012583434,1
31,198,216,230.4529087167976,219.75826620636747,1
32,197,220,230.64058606368252,218.07467532467533,1
33,196,210,230.75680272108843,218.775327742433,1
34,196,217,230.11191573403556,219.18681680161944,1
35,198,217,229.24451892193827,219.15984514683035,1
36,197,216,229.45605376950556,219.0565294715447,1
37,196,216,230.22822184429327,218.33782961460446,1
38,197,215,229.78576319206707,218.86175333582742,1
39,194,214,230.37282011754505,219.96582937316134,1
40,196,215,229.4938775510204,220.16226820612786,1
41,196,225,227.45190476190476,220.74791724909142,1
42,192,218,227.20345948012232,222.0061721937441,1
43,195,218,227.50948012232416,221.16252363474587,1
44,193,216,228.0128094415659,222.45906336088154,1
45,196,209,228.85125964261303,222.44425710728368,1
46,199,211,230.1320822120079,221.72738713229512,1
47,201,217,230.90077263452324,221.06536320434486,1
48,201,223,231.5762666488187,221.03815708101422,1
49,199,215,231.74942152623584,220.41169289202386,1
50,199,227,228.9305780001328,222.1231177756951,1
51,203,216,230.24194946177704,220.24806922599922,1
52,203,205,230.84183587648684,221.55261036081436,1
53,210,216,231.42663139329807,221.73030224748126,1
54,211,212,231.42318698023786,221.7476580796253,1
55,211,213,230.94332821573994,220.96438258929703,1
56,209,213,230.96023990834962,222.05560831486758,1
57,211,210,231.9832769126608,222.76936828119338,1
58,208,205,231.72898686679176,221.85836660785588,1
59,205,217,231.6260762054625,221.19197635135134,1
60,208,221,231.38404977375566,222.4056987788331,1
61,210,216,231.93798500881834,222.58860088365242,1
62,207,222,231.2932932932933,222.96019900497512,1
63,207,216,232.07610932188226,223.02294219685524,1
64,208,212,232.1703102322206,223.3927209154482,1
65,209,212,231.97727272727272,222.47693273354955,1
66,213,212,230.6151120559837,224.1616648238825,1
67,212,216,230.79395964360586,222.7082304526749,1
68,204,212,231.56310118386978,223.18748334132948,1
69,204,230,225.4110400682012,220.68429951690823,1
70,200,245,229.06130612244897,221.94558124427908,1
71,197,235,229.98079706231775,220.72736842105263,1
72,197,242,229.15968871921802,220.4979789384108,1
73,199,235,229.0178766171282,221.65826330532212,1
74,203,227,230.38644994683276,222.401791171078,1
75,206,229,229.25717556281003,222.09431632890752,1
76,208,224,230.44698660714286,222.5160251046025,1
77,209,225,229.94135034556086,221.95263325450244,1
78,211,203,229.79658207456868,223.21010220125785,1
79,216,202,231.07684726806013,224.3961363425281,1
80,214,212,229.6345882560395,224.6045929018789,1
81,216,222,229.42723973973975,222.96048460144928,1
82,215,227,230.44800737629342,223.28482942633886,1
83,217,221,230.55391288028858,224.30546089807186,1
84,216,223,229.48031888390634,223.0027560763889,1
85,214,208,226.1365249820273,224.1638731484243,1
86,209,229,225.80871690938343,219.09086735119794,1
87,214,221,225.7200913435108,217.0834077479908,1
88,214,222,224.21053296286942,214.65655815724347,1
89,207,214,225.7317034629103,213.9057744760264,1
90,209,216,228.11966152755627,216.21342654986523,1
91,201,222,229.22231186410292,216.91989063812298,1
